   ID     X     Y      Map X       Map Y        Lat        Lon    B1    B2    B3    B4    B5    B6    B7    B8    B9   B10   B11   B12
    1  2914  2565  558240.00  5448740.00  49.188696  15.799281   165   328   250   562  1312  1554  1736   989   564    24    33    20
    2  2915  2565  558260.00  5448740.00  49.188694  15.799556   164   310   206   545  1324  1616  1719   945   485    21    32    17
    3  2916  2565  558280.00  5448740.00  49.188692  15.799830   170   333   227   553  1296  1610  1708   954   500    22    33    17
    4  2911  2566  558180.00  5448720.00  49.188522  15.798455   164   306   187   508  1397  1697  1850   801   359    21    32    17
    5  2912  2566  558200.00  5448720.00  49.188520  15.798729   155   309   199   516  1363  1647  1784   836   398    22    32    18
    6  2913  2566  558220.00  5448720.00  49.188518  15.799004   166   303   193   497  1413  1681  1831   826   403    19    30    17
    7  2914  2566  558240.00  5448720.00  49.188516  15.799278   170   320   191   527  1457  1768  1888   833   384    20    33    19
    8  2915  2566  558260.00  5448720.00  49.188514  15.799553   160   330   187   545  1449  1750  1877   831   392    19    34    19
    9  2916  2566  558280.00  5448720.00  49.188512  15.799827   154   316   191   525  1476  1765  1907   827   396    19    32    17
   10  2911  2567  558180.00  5448700.00  49.188342  15.798452   154   312   198   513  1360  1737  1839   795   351    21    32    16
   11  2912  2567  558200.00  5448700.00  49.188340  15.798726   144   306   181   500  1405  1629  1797   807   370    17    31    16
   12  2913  2567  558220.00  5448700.00  49.188338  15.799001   155   296   198   512  1336  1547  1678   839   411    21    30    16
   13  2914  2567  558240.00  5448700.00  49.188336  15.799275   158   306   207   515  1265  1601  1735   845   429    21    32    17
   14  2915  2567  558260.00  5448700.00  49.188334  15.799550   170   320   198   542  1395  1694  1889   843   385    21    33    18

   1  2923  2554  558420.00  5448960.00  49.190657  15.801783   244   380   484   721  1142  1197  1476  1566   992    51    39    24
   2  2923  2555  558420.00  5448940.00  49.190477  15.801780   254   399   535   755  1001  1108  1361  1657  1049    54    40    26
   3  2924  2555  558440.00  5448940.00  49.190476  15.802055   258   387   524   746  1027  1169  1370  1633  1015    57    40    26
   4  2923  2556  558420.00  5448920.00  49.190298  15.801777   261   396   479   706  1036  1141  1332  1583   988    49    41    28
   5  2924  2556  558440.00  5448920.00  49.190296  15.802052   260   386   501   721   959  1122  1307  1563   998    51    40    27

    1  2927  2562  558500.00  5448800.00  49.189211  15.802858   174   314   205   554  1600  1973  2162   838   370    20    32    16
    2  2928  2562  558520.00  5448800.00  49.189209  15.803132   183   361   203   579  1721  2082  2298   883   405    22    37    20
    3  2925  2563  558460.00  5448780.00  49.189035  15.802306   186   357   212   568  1605  2005  2148   865   384    22    37    18
    4  2926  2563  558480.00  5448780.00  49.189033  15.802580   174   378   218   560  1660  1996  2197   822   393    24    38    19
    5  2927  2563  558500.00  5448780.00  49.189031  15.802855   187   352   219   559  1649  1973  2171   845   371    23    36    18
    6  2928  2563  558520.00  5448780.00  49.189029  15.803129   163   362   219   557  1628  1954  2178   864   373    22    35    18
    7  2925  2564  558460.00  5448760.00  49.188855  15.802303   183   351   235   588  1731  2153  2325  1045   444    24    35    20
    8  2926  2564  558480.00  5448760.00  49.188853  15.802577   207   353   222   662  1723  2142  2267  1109   491    24    37    21
    9  2927  2564  558500.00  5448760.00  49.188851  15.802852   187   359   214   605  1659  2066  2216  1071   532    22    36    20
   10  2928  2564  558520.00  5448760.00  49.188849  15.803126   182   353   231   556  1655  2052  2248  1000   492    23    36    21

   1  2927  2553  558500.00  5448980.00  49.190830  15.802884   130   294   174   479  1423  1720  1921   806   386    19    29    13
   2  2928  2553  558520.00  5448980.00  49.190828  15.803158   155   306   175   509  1497  1848  1982   810   379    20    33    17
   3  2926  2554  558480.00  5448960.00  49.190652  15.802607   137   303   181   498  1379  1720  1849   885   419    22    30    14
   4  2927  2554  558500.00  5448960.00  49.190650  15.802881   145   296   171   502  1443  1769  1966   784   357    18    30    14
   5  2928  2554  558520.00  5448960.00  49.190648  15.803155   143   292   167   500  1472  1783  1967   772   379    17    31    15
